Model,Train Start Year,Train End Year,Test Year,AUC,Precision_0,Recall_0,F1_Score_0,Support_0,Precision_1,Recall_1,F1_Score_1,Support_1,Model Time (s),Feature_act_Rank,Feature_ap_Rank,Feature_at_Rank,Feature_ceq_Rank,Feature_che_Rank,Feature_cogs_Rank,Feature_csho_Rank,Feature_dlc_Rank,Feature_dltis_Rank,Feature_dltt_Rank,Feature_dp_Rank,Feature_ib_Rank,Feature_invt_Rank,Feature_ivao_Rank,Feature_ivst_Rank,Feature_lct_Rank,Feature_lt_Rank,Feature_ni_Rank,Feature_ppegt_Rank,Feature_pstk_Rank,Feature_re_Rank,Feature_rect_Rank,Feature_sale_Rank,Feature_sstk_Rank,Feature_txp_Rank,Feature_txt_Rank,Feature_xint_Rank,Feature_prcc_f_Rank,Feature_dch_wc_Rank,Feature_ch_rsst_Rank,Feature_dch_rec_Rank,Feature_dch_inv_Rank,Feature_soft_assets_Rank,Feature_dpi_Rank,Feature_ch_cs_Rank,Feature_ch_cm_Rank,Feature_ch_roa_Rank,Feature_ch_fcf_Rank,Feature_reoa_Rank,Feature_EBIT_Rank,Feature_issue_Rank,Feature_bm_Rank,Feature_ordinal_ranking_Rank,Feature_ordinal_ranking_change_Rank
LogisticRegression,1991,2001,2003,0.6009110901665096,0.979757085020243,0.6842601319509897,0.8057713651498335,1061,0.04285714285714286,0.5,0.07894736842105264,30,12.360085010528564,16,11,10,3,41,8,17,19,23,21,1,20,18,14,7,33,2,9,4,12,24,42,6,22,43,40,39,28,35,34,30,13,15,32,5,38,27,36,25,29,26,31,37,44
RandomForest,1991,2001,2003,0.6064247565190073,0.9763374485596708,0.8944392082940622,0.9335956714215444,1061,0.058823529411764705,0.23333333333333334,0.09395973154362415,30,113.43461799621582,1,33,26,7,2,17,24,16,13,15,39,29,22,10,5,9,6,32,34,23,38,31,19,40,27,35,3,37,28,42,43,21,11,12,25,30,8,4,18,36,14,20,44,41
RUSBoost,1991,2001,2003,0.5407791391768771,0.9775132275132276,0.6965127238454288,0.8134287286736379,1061,0.03880597014925373,0.43333333333333335,0.07123287671232877,30,91.77023100852966,1,33,26,24,7,2,17,13,9,16,23,22,29,6,39,10,5,37,19,11,43,32,40,42,8,15,34,28,31,38,35,3,25,21,4,36,27,14,30,20,18,12,44,41
LightGBM,1991,2001,2003,0.5928055293748037,0.9730483271375465,0.9868049010367578,0.9798783341132429,1061,0.06666666666666667,0.03333333333333333,0.04444444444444444,30,20.948079109191895,42,7,31,24,37,5,29,35,13,34,32,11,33,2,39,38,19,8,23,6,36,28,16,4,20,26,30,9,25,22,1,40,14,10,21,43,3,15,27,18,17,12,44,41
XGBoost,1991,2001,2003,0.6080741438894125,0.9724264705882353,0.9971724787935909,0.9846440204746394,1061,0.0,0.0,0.0,30,26.892592668533325,1,17,26,7,16,33,3,13,2,24,15,27,19,43,6,40,12,5,4,38,11,39,28,32,10,29,34,42,14,36,22,35,31,21,37,25,23,30,18,20,8,9,44,41
LogisticRegression,1991,2002,2004,0.5403110047846891,0.9856733524355301,0.6583732057416268,0.7894434882386691,1045,0.01652892561983471,0.375,0.0316622691292876,16,13.620626449584961,3,17,16,10,11,19,8,23,1,27,30,20,33,7,4,22,21,14,38,9,41,42,24,43,15,35,32,26,25,13,37,40,12,31,6,28,5,36,2,29,18,34,39,44
RandomForest,1991,2002,2004,0.616866028708134,0.9880823401950163,0.8727272727272727,0.9268292682926829,1045,0.036231884057971016,0.3125,0.06493506493506494,16,128.45891189575195,1,33,17,24,2,26,39,10,7,32,16,13,15,40,5,19,8,42,21,27,34,6,43,4,37,31,3,22,28,11,12,29,38,30,35,9,25,23,18,36,20,14,44,41
RUSBoost,1991,2002,2004,0.554665071770335,0.9874651810584958,0.6784688995215311,0.8043108338060125,1045,0.02040816326530612,0.4375,0.03899721448467966,16,109.19125652313232,1,33,24,17,7,2,40,26,39,13,10,32,19,37,42,16,8,5,22,28,6,43,29,36,9,21,23,3,34,35,11,38,31,4,15,27,25,14,30,12,20,18,44,41
LightGBM,1991,2002,2004,0.6488636363636363,0.9856046065259118,0.9827751196172249,0.9841878294202203,1045,0.05263157894736842,0.0625,0.05714285714285714,16,20.73425531387329,7,42,35,24,5,13,34,6,19,39,2,22,30,1,11,33,32,37,38,29,43,8,26,31,40,16,23,36,14,3,10,27,28,4,25,9,20,21,18,15,17,12,44,41
XGBoost,1991,2002,2004,0.630622009569378,0.9846743295019157,0.9837320574162679,0.9842029679272378,1045,0.0,0.0,0.0,16,30.233794927597046,17,1,3,33,15,26,19,18,43,39,4,16,2,10,7,40,24,28,22,12,13,5,27,32,25,14,42,34,29,31,37,23,21,35,11,38,6,36,8,20,30,9,44,41
